"-kertaistaa","muistaa"
"-kertaistua","sanoa"
"ääkköstää","muistaa"
"äänestää","muistaa"
"äänieristää","muistaa"
"äänittää","muistaa"
"äännähtää","muistaa"
"äännellä","tulla"
"ääntää","huutaa"
"ääntyä","sanoa"
"äestää","muistaa"
"äestellä","tulla"
"äestyttää","muistaa"
"äheltää","huutaa"
"ähistä","rohkaista"
"ähitellä","tulla"
"ähkää","kaikaa"
"ähkäistä","rohkaista"
"ähkiä","sallia"
"ähkyä","sanoa"
"äiditellä","tulla"
"äimistää","muistaa"
"äimistellä","tulla"
"äimistyä","sanoa"
"äimistyttää","muistaa"
"äitelöittää","muistaa"
"äityä","sanoa"
"äkääntyä","sanoa"
"äkäillä","tulla"
"äkämystyä","sanoa"
"äkämystyttää","muistaa"
"äkätä","salata"
"äkeillä","tulla"
"äkkirikastua","sanoa"
"äkseerata","salata"
"äksyillä","tulla"
"äksyyntyä","sanoa"
"älähtää","muistaa"
"älistä","rohkaista"
"ällöttää","muistaa"
"ällistellä","tulla"
"ällistyä","sanoa"
"ällistyttää","muistaa"
"älyllistää","muistaa"
"älyllistyä","sanoa"
"älytä","katketa"
"älyttää","muistaa"
"ämpäröidä","voida"
"ängetä","katketa"
"änkätä","salata"
"änkeä","laskea"
"änkyttää","muistaa"
"äpöstää","muistaa"
"ärähdellä","tulla"
"ärähtää","muistaa"
"ärhennellä","tulla"
"äristä","rohkaista"
"ärjähtää","muistaa"
"ärjäistä","rohkaista"
"ärjyä","sanoa"
"ärsyttää","muistaa"
"ärsyttyä","sanoa"
"ärsyyntyä","sanoa"
"ärtyä","sanoa"
"äsähtää","muistaa"
"ävärtyä","sanoa"
"äveröityä","sanoa"
"äveriöityä","sanoa"
"ävertyä","sanoa"
"äyrittää","muistaa"
"äyskähdellä","tulla"
"äyskähtää","muistaa"
"äyskäistä","rohkaista"
"äyskäröidä","voida"
"äyskätä","salata"
"äyskiä","sallia"
"äyskyä","sanoa"
"ölistä","rohkaista"
"öljysorastaa","muistaa"
"öljytä","katketa"
"öljyttyä","sanoa"
"öljyyntyä","sanoa"
"öllöttää","muistaa"
"örähdellä","tulla"
"örähtää","muistaa"
"öristä","rohkaista"
"örveltää","huutaa"
"öyhöttää","muistaa"
"öykätä","salata"
"öykkäröidä","voida"
"\u0161akata","salata"
"\u0161amanoida","voida"
"\u0161okeerata","salata"
"aakkostaa","muistaa"
"aallota","selvit\u0
"aallottaa","muistaa"
"aaltoilla","tulla"
"aamiaistaa","muistaa"
"aarporata","salata"
"aatella","tulla"
"aateloida","voida"
"aavikoittaa","muistaa"
"aavikoitua","sanoa"
"aavistaa","muistaa"
"aavistella","tulla"
"abdikoida","voida"
"abduktoida","voida"
"abhaasintaa","huutaa"
"abortoida","voida"
"absorboida","voida"
"absorboitua","sanoa"
"abstrahoida","voida"
"abstrahoitua","sanoa"
"abstraktistaa","muistaa"
"abstraktistua","sanoa"
"abstraktoida","voida"
"adaptoida","voida"
"adaptoitua","sanoa"
"addiktoida","voida"
"addiktoitua","sanoa"
"adoptoida","voida"
"adsorboida","voida"
"adsorboitua","sanoa"
"aerobicata","salata"
"aerobikata","salata"
"affisioida","voida"
"afrikaansintaa","huutaa"
"agglutinoida","voida"
"aggregoida","voida"
"agitoida","voida"
"ahavoida","voida"
"ahavoittaa","muistaa"
"ahavoitua","sanoa"
"ahdata","salata"
"ahdistaa","muistaa"
"ahdistella","tulla"
"ahdistua","sanoa"
"ahertaa","huutaa"
"ahkeroida","tupakoida"
"ahmaista","rohkaista"
"ahmia","sallia"
"ahnastella","tulla"
"ahnehtia","sallia"
"ahtaa","kaivaa"
"ahtauttaa","muistaa"
"ahtauttaa","muistaa"
"ahtautua","sanoa"
"ahtoutua","sanoa"
"aidata","salata"
"aidoittaa","muistaa"
"aientaa","huutaa"
"aiheellistaa","muistaa"
"aiheellistua","sanoa"
"aiheuttaa","muistaa"
"aiheutua","sanoa"
"aikaansaada","saada"
"aikailla","tulla"
"aikaistaa","muistaa"
"aikaistua","sanoa"
"aikakatkaista","rohkaista"
"aikatauluttaa","muistaa"
"aikauttaa","muistaa"
"aikoa","sanoa"
"aikuistua","sanoa"
"ailahdella","tulla"
"ailahtaa","muistaa"
"aineellistaa","muistaa"
"aineellistua","sanoa"
"aineistaa","muistaa"
"aineistua","sanoa"
"ainuntaa","huutaa"
"aisata","salata"
"aistia","sallia"
"aitailla","tulla"
"aitautua","sanoa"
"aitoa","sanoa"
"aivastaa","muistaa"
"aivastella","tulla"
"aivastuttaa","muistaa"
"aivopestä","rohkaista"
"ajaantua","sanoa"
"ajankohtaistaa","muistaa"
"ajankohtaistua","sanoa"
"ajanmukaistaa","muistaa"
"ajanmukaistua","sanoa"
"ajantasaistaa","muistaa"
"ajastaa","muistaa"
"ajatella","tulla"
"ajattaa","muistaa"
"ajatteluttaa","muistaa"
"ajautua","sanoa"
"ajelehtia","sallia"
"ajella","tulla"
"ajeluttaa","muistaa"
"ajettua","sanoa"
"ajoittaa","muistaa"
"ajoittua","sanoa"
"akettaa","muistaa"
"akkautua","sanoa"
"akklimatisoida","voida"
"akklimatisoitua","sanoa"
"akkreditoida","voida"
"akkumuloida","voida"
"akoittua","sanoa"
"akseleroida","voida"
"aksentoida","voida"
"akseptata","salata"
"akseptoida","voida"
"aktiivistaa","muistaa"
"aktiivistua","sanoa"
"aktivoida","voida"
"aktivoitua","sanoa"
"aktuaalistaa","muistaa"
"aktuaalistua","sanoa"
"aktualisoida","voida"
"aktualisoitua","sanoa"
"alaskirjata","salata"
"albaniantaa","huutaa"
"alentaa","huutaa"
"alentua","sanoa"
"aleta","vanheta"
"aliarvioida","voida"
"aliarvostaa","muistaa"
"alihinnoitella","tulla"
"alijäähtyä","sanoa"
"alikellottaa","muistaa"
"alimitoittaa","muistaa"
"alimyydä","saada"
"alipalkata","salata"
"alisovittaa","muistaa"
"alistaa","muistaa"
"alistua","sanoa"
"alitäyttää","muistaa"
"alittaa","muistaa"
"alittua","sanoa"
"aliurakoida","tupakoida"
"alivakuuttaa","muistaa"
"alivalottaa","muistaa"
"alivalottua","sanoa"
"alivoltittaa","muistaa"
"alkoholisoitua","sanoa"
"allastaa","muistaa"
"allekirjoittaa","muistaa"
"allergisoida","voida"
"allergisoitua","sanoa"
"allergistaa","muistaa"
"allergistua","sanoa"
"alleviivata","salata"
"allokoida","voida"
"aloitella","tulla"
"aloittaa","muistaa"
"alottaa","muistaa"
"alternoida","voida"
"alteroida","voida"
"altistaa","muistaa"
"altistua","sanoa"
"alueellistaa","muistaa"
"aluminoida","voida"
"alustaa","muistaa"
"amerikkalaistaa","muistaa"
"amerikkalaistua","sanoa"
"ammatillistaa","muistaa"
"ammatillistua","sanoa"
"ammattilaistaa","muistaa"
"ammattilaistua","sanoa"
"ammentaa","huutaa"
"ammottaa","muistaa"
"ammua","sanoa"
"ammuskella","tulla"
"ammuttaa","muistaa"
"ampaista","rohkaista"
"ampua","sanoa"
"ampuilla","tulla"
"amputoida","voida"
"analysoida","voida"
"anastaa","muistaa"
"anastella","tulla"
"anella","tulla"
"angstata","salata"
"animoida","voida"
"ankeutua","sanoa"
"ankkuroida","voida"
"ankkuroitua","sanoa"
"annektoida","voida"
"annella","tulla"
"anniskella","tulla"
"annostaa","muistaa"
"annostella","tulla"
"anoa","sanoa"
"anodisoida","voida"
"ansaita","valita"
"ansastaa","muistaa"
"ansioitua","sanoa"
"ansoittaa","muistaa"
"antaa anteeksi","kaivaa"
"antaa ilmi","kaivaa"
"antaa opetus","kaivaa"
"antaa periksi","kaivaa"
"antaa ylen","kaivaa"
"antaa","kaivaa"
"antautua","sanoa"
"antipatiseerata","salata"
"anturoida","voida"
"apeutua","sanoa"
"apinoida","voida"
"aplikoida","voida"
"aplodeerata","salata"
"appaa","kaivaa"
"applikoida","voida"
"applisoida","voida"
"approksimoida","voida"
"aprikoida","tupakoida"
"aprillata","salata"
"arabiantaa","huutaa"
"arastaa","muistaa"
"arastella","tulla"
"aravalainoittaa","muistaa"
"argumentoida","voida"
"aristaa","muistaa"
"aristella","tulla"
"aristua","sanoa"
"arkailla","tulla"
"arkipäiväistää","muistaa"
"arkipäiväistyä","sanoa"
"arkistaa","muistaa"
"arkistoida","voida"
"arkistua","sanoa"
"armahtaa","muistaa"
"armastella","tulla"
"arpeuttaa","muistaa"
"arpeutua","sanoa"
"arpoa","sanoa"
"artikuloida","voida"
"arvailla","tulla"
"arvata","salata"
"arvauttaa","muistaa"
"arvella","tulla"
"arveluttaa","muistaa"
"arvettua","sanoa"
"arvioida","voida"
"arvioittaa","muistaa"
"arvioituttaa","muistaa"
"arvopaperistaa","muistaa"
"arvopaperistua","sanoa"
"arvostaa","muistaa"
"arvostella","tulla"
"arvottaa","muistaa"
"arvuuttaa","muistaa"
"aseistaa","muistaa"
"aseistautua","sanoa"
"asemakaavoittaa","muistaa"
"asemoida","voida"
"asennoitua","sanoa"
"asentaa","huutaa"
"asentua","sanoa"
"asetella","tulla"
"asettaa kyseenalaiseksi","muistaa"
"asettaa","muistaa"
"asettautua","sanoa"
"asettua taloksi","sanoa"
"asettua","sanoa"
"asfaltoida","voida"
"asioida","voida"
"askaroida","voida"
"askarrella","tulla"
"askarruttaa","muistaa"
"askarteluttaa","muistaa"
"askeltaa","huutaa"
"aspiroida","voida"
"assimiloida","voida"
"assimiloitua","sanoa"
"assosioida","voida"
"assosioitua","sanoa"
"astahtaa","muistaa"
"astella","tulla"
"astua","sanoa"
"astuskella","tulla"
"astuttaa","muistaa"
"asua","sanoa"
"asustaa","muistaa"
"asustella","tulla"
"asuttaa","muistaa"
"asvaltoida","voida"
"aterioida","tupakoida"
"attrahoida","voida"
"attribuoida","voida"
"auditoida","voida"
"aueta","katketa",,
"aukaista","rohkaista"
"aukoa päätään","sanoa"
"aukoa","sanoa"
"aukottaa","muistaa"
"auktorisoida","voida"
"auktoroida","voida"
"aumata","salata"
"aurata","salata"
"aurinkokuivata","salata"
"auskultoida","voida"
"australialaistaa","muistaa"
"autella","tulla"
"autentikoida","voida"
"autioittaa","muistaa"
"autioitua","sanoa"
"autoilla","tulla"
"autoistaa","muistaa"
"autoistua","sanoa"
"automaattistaa","muistaa"
"automaattistua","sanoa"
"automatisoida","voida"
"automatisoitua","sanoa"
"autorisoida","voida"
"auttaa","kaivaa"
"autuuttaa","muistaa"
"availla","tulla"
"avartaa","huutaa"
"avartua","sanoa"
"avata","salata"
"avauttaa","muistaa"
"avautua","sanoa"
"aventaa","huutaa"
"avioida","voida"
"avioida","voida"
"avioitua","sanoa"
"avisoida","voida"
"avittaa","muistaa"
"avustaa","muistaa"
"azerintaa","huutaa"
"bagatellisoida","voida"
"bailata","salata"
"baitata","salata"
"balansoida","voida"
"balkanisoida","voida"
"balkanisoitua","sanoa"
"balsamoida","voida"
"bamlata","salata"
"banaalistaa","muistaa"
"banaalistua","sanoa"
"banalisoida","voida"
"banalisoitua","sanoa"
"bannata","salata"
"betonoida","voida"
